price,transmission,mileage,fuelType,tax,mpg,engineSize
25750.00,2.00,17039.00,2.00,145.00,55.40,2.00
11750.00,1.00,72026.00,2.00,0.00,74.30,2.00
11200.00,1.00,34824.00,1.00,0.00,67.30,1.00
12800.00,1.00,20351.00,1.00,30.00,55.40,1.40
16000.00,2.00,58028.00,1.00,145.00,52.30,2.00
20000.00,2.00,44783.00,2.00,145.00,62.80,2.00
11950.00,1.00,60604.00,2.00,20.00,67.30,2.00
9400.00,1.00,39998.00,2.00,30.00,65.70,2.00
20000.00,2.00,20852.00,2.00,30.00,65.70,2.00
13300.00,1.00,79728.00,2.00,30.00,64.20,2.00
18500.00,2.00,29095.00,2.00,20.00,64.20,2.00
8300.00,1.00,98940.00,2.00,0.00,74.30,1.60
13500.00,1.00,22780.00,1.00,30.00,58.90,1.40
19800.00,1.00,20832.00,1.00,150.00,47.10,2.00
15400.00,2.00,29196.00,2.00,145.00,55.40,2.00
13900.00,1.00,14392.00,1.00,145.00,53.30,1.40
15600.00,1.00,20070.00,1.00,145.00,52.30,1.40
16200.00,2.00,89334.00,2.00,30.00,62.80,3.00
10600.00,1.00,21428.00,1.00,0.00,67.30,1.00
14300.00,1.00,45485.00,2.00,20.00,70.60,2.00
14700.00,1.00,32704.00,2.00,30.00,60.10,2.00
19100.00,2.00,42209.00,1.00,145.00,42.20,2.00
18100.00,1.00,17278.00,1.00,145.00,48.70,1.40
11400.00,1.00,29515.00,1.00,0.00,67.30,1.00
11600.00,1.00,43662.00,2.00,20.00,67.30,2.00
17300.00,2.00,45225.00,2.00,145.00,62.80,2.00
16400.00,1.00,45491.00,2.00,30.00,61.40,2.00
17100.00,1.00,52267.00,1.00,235.00,37.70,2.00
11498.00,3.00,40807.00,1.00,125.00,50.40,1.80
11698.00,1.00,65959.00,2.00,160.00,49.60,2.00
18998.00,3.00,47648.00,1.00,260.00,35.80,2.00
25498.00,3.00,27948.00,1.00,145.00,40.90,2.00
10498.00,1.00,31169.00,1.00,145.00,49.60,1.80
9498.00,2.00,42011.00,1.00,145.00,47.10,2.00
19998.00,3.00,56115.00,2.00,160.00,50.40,3.00
16798.00,3.00,65835.00,2.00,125.00,61.40,2.00
23998.00,3.00,63383.00,2.00,145.00,45.60,3.00
36998.00,3.00,34011.00,1.00,145.00,34.00,3.00
13998.00,3.00,52132.00,2.00,160.00,49.60,3.00
15995.00,1.00,38787.00,2.00,145.00,55.40,2.00
13495.00,1.00,34554.00,1.00,150.00,55.40,1.40
30985.00,3.00,17502.00,1.00,145.00,40.40,2.00
29485.00,2.00,3000.00,1.00,145.00,40.90,2.00
16985.00,1.00,34646.00,2.00,30.00,61.40,2.00
26485.00,3.00,18000.00,2.00,150.00,56.50,2.00
23985.00,3.00,17085.00,1.00,150.00,47.90,1.40
12485.00,1.00,48166.00,2.00,20.00,72.40,1.60
22485.00,3.00,38421.00,2.00,205.00,47.10,2.00
16498.00,1.00,46637.00,2.00,30.00,61.40,2.00
11998.00,1.00,24468.00,2.00,0.00,74.30,1.60
24985.00,2.00,29343.00,2.00,200.00,47.10,2.00
17985.00,1.00,8449.00,2.00,145.00,51.40,1.60
20485.00,1.00,34679.00,2.00,30.00,65.70,2.00
16985.00,3.00,23860.00,1.00,145.00,60.10,1.00
30985.00,2.00,21009.00,1.00,145.00,35.80,3.00
29985.00,2.00,1881.00,2.00,145.00,47.90,2.00
27985.00,3.00,688.00,2.00,145.00,47.90,2.00
30985.00,2.00,1863.00,2.00,145.00,47.90,2.00
62985.00,3.00,10.00,2.00,145.00,33.20,3.00
44985.00,3.00,49050.00,1.00,325.00,29.40,4.00
28985.00,3.00,1024.00,1.00,145.00,38.70,2.00
24985.00,3.00,448.00,1.00,145.00,39.80,2.00
26985.00,3.00,476.00,1.00,145.00,39.20,2.00
39985.00,2.00,5201.00,2.00,145.00,38.70,3.00
21985.00,3.00,2028.00,1.00,145.00,42.20,1.50
45485.00,2.00,3241.00,2.00,145.00,39.20,3.00
33985.00,2.00,355.00,2.00,145.00,39.20,2.00
28985.00,2.00,18.00,1.00,145.00,39.80,2.00
29985.00,2.00,3122.00,1.00,145.00,41.50,1.50
28985.00,1.00,824.00,1.00,145.00,40.90,1.50
31985.00,3.00,2811.00,2.00,145.00,47.90,2.00
31985.00,3.00,27.00,2.00,145.00,50.40,2.00
29485.00,3.00,4254.00,1.00,145.00,38.20,2.00
17985.00,3.00,2252.00,1.00,145.00,48.70,1.00
20985.00,2.00,3422.00,2.00,145.00,47.90,1.60
23685.00,2.00,37.00,2.00,145.00,47.90,1.60
27985.00,3.00,7299.00,1.00,145.00,38.20,2.00
27985.00,3.00,1414.00,1.00,145.00,40.90,1.50
36985.00,2.00,5135.00,2.00,145.00,38.20,2.00
37985.00,2.00,6024.00,2.00,145.00,38.20,2.00
37985.00,3.00,10.00,1.00,145.00,32.10,2.00
49985.00,2.00,10.00,2.00,145.00,33.20,3.00
59995.00,2.00,10.00,2.00,145.00,33.20,3.00
47895.00,3.00,10.00,1.00,145.00,30.70,2.00
31985.00,3.00,10.00,1.00,145.00,42.20,2.00
29985.00,2.00,47606.00,2.00,200.00,47.90,3.00
12485.00,3.00,26625.00,1.00,30.00,57.60,1.40
24985.00,2.00,5071.00,1.00,145.00,50.40,2.00
21985.00,3.00,28011.00,1.00,260.00,34.90,3.00
34985.00,2.00,10.00,2.00,145.00,47.10,2.00
29985.00,2.00,10.00,2.00,145.00,51.40,2.00
34485.00,2.00,10.00,2.00,145.00,47.10,2.00
19685.00,1.00,10.00,1.00,145.00,49.60,1.00
34985.00,2.00,10.00,2.00,145.00,53.30,2.00
43885.00,3.00,10.00,2.00,145.00,38.20,3.00
35895.00,2.00,2000.00,2.00,145.00,47.90,2.00
26985.00,2.00,10.00,1.00,145.00,43.50,1.50
46985.00,2.00,3510.00,2.00,145.00,36.20,3.00
23985.00,2.00,10.00,1.00,145.00,44.80,1.50
28985.00,2.00,10.00,1.00,145.00,39.80,2.00
27985.00,2.00,1010.00,1.00,145.00,39.80,2.00
28985.00,3.00,500.00,2.00,145.00,47.90,2.00
29985.00,2.00,10.00,1.00,145.00,42.80,2.00
21995.00,1.00,10.00,2.00,145.00,54.30,1.60
31985.00,2.00,10.00,1.00,145.00,39.80,2.00
32485.00,2.00,10.00,2.00,145.00,51.40,2.00
21285.00,1.00,10.00,2.00,145.00,51.40,1.60
56985.00,2.00,1510.00,2.00,145.00,33.20,3.00
43785.00,3.00,10.00,1.00,145.00,30.10,2.50
18498.00,3.00,29845.00,1.00,160.00,45.60,2.00
14995.00,3.00,27355.00,1.00,160.00,42.80,1.80
17998.00,1.00,20885.00,2.00,30.00,64.20,2.00
10985.00,2.00,10534.00,1.00,30.00,56.50,1.20
12995.00,1.00,25895.00,2.00,20.00,70.60,2.00
11495.00,1.00,32867.00,1.00,0.00,67.30,1.00
18295.00,3.00,42793.00,2.00,205.00,47.10,2.00
18998.00,3.00,49039.00,2.00,160.00,50.40,3.00
18485.00,1.00,22501.00,2.00,145.00,64.20,1.60
38985.00,2.00,1420.00,2.00,145.00,50.40,3.00
29485.00,2.00,10.00,1.00,145.00,40.40,2.00
22998.00,3.00,26939.00,2.00,145.00,62.80,2.00
18998.00,3.00,24786.00,2.00,205.00,47.90,3.00
17698.00,1.00,18761.00,1.00,145.00,51.40,1.40
27995.00,2.00,10.00,1.00,145.00,40.40,2.00
31985.00,1.00,10.00,2.00,145.00,42.80,2.00
30995.00,2.00,10.00,1.00,145.00,38.70,2.00
18998.00,3.00,22295.00,1.00,30.00,56.50,1.40
16995.00,1.00,18068.00,1.00,145.00,52.30,1.40
19995.00,1.00,25000.00,1.00,150.00,42.20,1.50
14495.00,1.00,23043.00,1.00,150.00,55.40,1.00
12998.00,3.00,80902.00,2.00,125.00,60.10,2.00
32485.00,2.00,10.00,2.00,145.00,50.40,2.00
20485.00,1.00,10.00,1.00,145.00,48.70,1.00
34485.00,2.00,10.00,2.00,145.00,47.10,2.00
18698.00,1.00,26474.00,2.00,145.00,52.30,2.00
15998.00,3.00,65458.00,2.00,235.00,44.10,3.00
16498.00,1.00,34170.00,1.00,150.00,47.10,1.80
31998.00,3.00,100.00,1.00,145.00,33.20,2.00
35985.00,2.00,650.00,2.00,145.00,47.10,2.00
37985.00,2.00,10.00,2.00,145.00,38.20,2.00
31998.00,3.00,10.00,1.00,145.00,33.20,2.00
18998.00,1.00,2928.00,1.00,145.00,41.50,2.00
19485.00,1.00,7157.00,1.00,145.00,51.40,1.40
19995.00,3.00,31600.00,2.00,160.00,50.40,2.00
47995.00,3.00,46600.00,2.00,300.00,39.20,4.00
23485.00,1.00,10.00,2.00,145.00,56.50,2.00
23998.00,3.00,14078.00,1.00,145.00,45.60,2.00
17998.00,1.00,13312.00,2.00,125.00,57.60,2.00
28985.00,3.00,10.00,2.00,145.00,50.40,2.00
46000.00,3.00,20982.00,1.00,325.00,29.40,4.00
26995.00,3.00,15600.00,2.00,145.00,50.40,2.00
33985.00,2.00,5429.00,2.00,145.00,47.90,2.00
30985.00,2.00,2710.00,1.00,145.00,40.90,1.50
52985.00,2.00,6423.00,2.00,145.00,33.20,3.00
12698.00,1.00,11017.00,1.00,150.00,67.30,1.00
17298.00,1.00,16908.00,1.00,125.00,51.40,1.40
16498.00,1.00,28801.00,1.00,125.00,49.60,2.00
16798.00,1.00,23362.00,1.00,145.00,50.40,1.40
15998.00,1.00,50025.00,1.00,235.00,37.70,2.00
63985.00,3.00,8450.00,2.00,145.00,32.80,3.00
27985.00,3.00,1790.00,2.00,145.00,50.40,2.00
19485.00,3.00,10.00,1.00,145.00,53.30,1.40
20985.00,1.00,10.00,1.00,145.00,52.30,1.40
22285.00,2.00,6754.00,2.00,145.00,52.30,1.60
14500.00,3.00,35423.00,2.00,200.00,47.90,2.00
25000.00,3.00,16703.00,1.00,200.00,41.50,2.00
15800.00,1.00,37203.00,1.00,125.00,51.40,1.40
13500.00,3.00,44405.00,2.00,125.00,58.90,2.00
12000.00,1.00,79389.00,2.00,165.00,50.40,2.00
13800.00,3.00,61808.00,2.00,125.00,57.60,2.00
11000.00,1.00,10491.00,1.00,0.00,67.30,1.00
19995.00,1.00,19000.00,1.00,150.00,49.60,2.00
11650.00,1.00,18900.00,1.00,0.00,67.30,1.00
11850.00,1.00,50900.00,2.00,20.00,68.90,2.00
12495.00,1.00,49000.00,2.00,325.00,29.70,2.00
15995.00,1.00,23081.00,1.00,235.00,39.80,2.00
82995.00,3.00,826.00,2.00,145.00,29.40,4.00
25990.00,3.00,5987.00,1.00,145.00,38.20,2.00
30995.00,3.00,2977.00,2.00,145.00,47.90,2.00
34985.00,2.00,7573.00,2.00,145.00,39.20,2.00
31995.00,1.00,3055.00,2.00,145.00,42.80,2.00
29985.00,2.00,22.00,1.00,145.00,38.70,2.00
28485.00,2.00,2250.00,2.00,145.00,51.40,2.00
21498.00,3.00,20547.00,2.00,200.00,47.10,2.00
32895.00,2.00,10.00,2.00,145.00,39.20,2.00
22998.00,3.00,18828.00,1.00,260.00,35.80,3.00
35998.00,3.00,28.00,1.00,145.00,32.10,2.00
29985.00,2.00,38654.00,2.00,200.00,47.90,3.00
16485.00,1.00,25764.00,1.00,200.00,40.40,2.00
19485.00,1.00,28402.00,2.00,30.00,62.80,2.00
13495.00,1.00,17152.00,1.00,30.00,56.50,1.40
14995.00,1.00,29775.00,1.00,20.00,60.10,1.40
39995.00,3.00,7801.00,1.00,145.00,34.00,3.00
22990.00,3.00,60599.00,2.00,240.00,42.80,3.00
12495.00,1.00,20670.00,1.00,30.00,57.60,1.40
24985.00,2.00,2257.00,2.00,145.00,52.30,1.60
24485.00,1.00,4039.00,2.00,145.00,51.40,1.60
16485.00,1.00,21241.00,1.00,125.00,52.30,1.40
20485.00,1.00,16945.00,2.00,160.00,49.60,2.00
24985.00,2.00,18010.00,1.00,145.00,49.60,1.40
19995.00,3.00,29653.00,2.00,145.00,62.80,2.00
16000.00,3.00,75159.00,1.00,260.00,34.90,3.00
14998.00,3.00,33842.00,2.00,200.00,47.90,2.00
13995.00,1.00,42977.00,2.00,20.00,67.30,2.00
27990.00,3.00,26.00,2.00,145.00,47.90,2.00
11995.00,1.00,17454.00,1.00,0.00,67.30,1.00
15995.00,1.00,17547.00,1.00,150.00,56.50,1.50
35995.00,3.00,314.00,1.00,150.00,34.90,2.00
13585.00,1.00,25010.00,1.00,30.00,58.90,1.40
31985.00,3.00,3278.00,2.00,145.00,47.90,2.00
32985.00,2.00,1285.00,2.00,145.00,39.20,3.00
30985.00,2.00,4445.00,2.00,145.00,47.90,2.00
34798.00,3.00,6998.00,1.00,145.00,38.20,2.00
40780.00,3.00,6746.00,2.00,145.00,45.60,2.00
34995.00,3.00,21245.00,2.00,205.00,47.90,3.00
18995.00,1.00,27394.00,2.00,30.00,64.20,2.00
12995.00,1.00,29283.00,1.00,0.00,67.30,1.00
14495.00,1.00,20905.00,1.00,30.00,56.50,1.40
12995.00,1.00,24386.00,1.00,0.00,67.30,1.00
24995.00,3.00,11621.00,1.00,150.00,42.80,2.00
20985.00,3.00,3409.00,1.00,145.00,43.50,1.50
31995.00,3.00,30172.00,2.00,240.00,42.20,3.00
13995.00,1.00,27016.00,2.00,30.00,62.80,2.00
31985.00,1.00,7456.00,1.00,145.00,40.90,2.00
29490.00,3.00,20.00,2.00,145.00,55.40,3.00
20495.00,3.00,4781.00,1.00,150.00,40.90,2.00
21995.00,3.00,40254.00,1.00,205.00,40.40,2.00
24995.00,3.00,12320.00,1.00,150.00,40.90,2.00
23995.00,1.00,16534.00,1.00,150.00,49.60,1.40
22995.00,3.00,20075.00,1.00,150.00,42.20,2.00
15995.00,1.00,14401.00,1.00,20.00,60.10,1.00
19995.00,3.00,19430.00,1.00,145.00,47.90,2.00
26995.00,3.00,28359.00,1.00,565.00,26.40,4.20
49995.00,3.00,16385.00,2.00,150.00,33.60,3.00
11995.00,1.00,24764.00,2.00,0.00,74.30,1.60
11995.00,1.00,26141.00,1.00,125.00,53.30,1.40
37331.00,3.00,7532.00,1.00,145.00,39.20,2.00
39454.00,3.00,7925.00,2.00,145.00,45.60,2.00
37507.00,3.00,7639.00,1.00,145.00,39.80,2.00
33462.00,3.00,7914.00,2.00,145.00,48.70,2.00
30995.00,3.00,15706.00,1.00,145.00,40.40,2.00
25990.00,1.00,4598.00,1.00,145.00,38.20,2.00
38995.00,3.00,6588.00,2.00,145.00,48.70,3.00
31995.00,3.00,48248.00,2.00,205.00,47.90,3.00
30995.00,3.00,4549.00,1.00,150.00,34.50,2.00
18995.00,1.00,7564.00,1.00,145.00,51.40,1.00
41995.00,3.00,11276.00,2.00,145.00,48.70,3.00
19995.00,1.00,20141.00,2.00,30.00,67.30,2.00
16995.00,1.00,16555.00,1.00,20.00,60.10,1.40
14495.00,1.00,8608.00,1.00,145.00,67.30,1.00
19995.00,1.00,18380.00,1.00,145.00,49.60,1.40
23995.00,3.00,27136.00,1.00,145.00,40.40,2.00
13995.00,1.00,36409.00,1.00,20.00,60.10,1.40
27995.00,3.00,35219.00,2.00,150.00,50.40,3.00
33995.00,3.00,10252.00,1.00,150.00,40.40,2.00
17490.00,1.00,16380.00,2.00,145.00,67.30,1.60
14990.00,3.00,30530.00,2.00,30.00,64.20,2.00
30995.00,3.00,37129.00,2.00,235.00,42.20,3.00
13995.00,1.00,36400.00,1.00,20.00,61.40,1.40
47995.00,3.00,8618.00,2.00,145.00,32.80,3.00
21995.00,1.00,9634.00,1.00,145.00,50.40,1.40
19995.00,3.00,18355.00,2.00,145.00,68.90,1.60
26995.00,3.00,28604.00,1.00,145.00,40.90,2.00
15995.00,1.00,15187.00,2.00,145.00,76.30,1.60
18990.00,3.00,43417.00,2.00,160.00,50.40,2.00
35995.00,3.00,12195.00,2.00,145.00,50.40,3.00
27995.00,3.00,12686.00,2.00,145.00,58.90,3.00
23995.00,3.00,5356.00,1.00,145.00,44.10,1.50
31265.00,3.00,7963.00,1.00,145.00,41.50,2.00
36312.00,3.00,7423.00,2.00,145.00,51.40,2.00
13995.00,1.00,12148.00,1.00,145.00,67.30,1.00
31995.00,3.00,44525.00,2.00,235.00,42.20,3.00
18495.00,1.00,20952.00,2.00,145.00,55.40,2.00
33490.00,3.00,4582.00,2.00,145.00,39.20,3.00
19995.00,1.00,36970.00,2.00,200.00,47.90,2.00
17995.00,1.00,38244.00,1.00,145.00,49.60,1.40
31995.00,3.00,26407.00,2.00,200.00,47.90,3.00
23995.00,1.00,6484.00,2.00,145.00,49.60,1.60
20995.00,1.00,3325.00,2.00,145.00,49.60,1.60
24995.00,3.00,9078.00,1.00,145.00,40.40,2.00
12995.00,1.00,22427.00,1.00,145.00,67.30,1.00
14995.00,3.00,41755.00,2.00,150.00,53.30,2.00
12490.00,3.00,35455.00,1.00,30.00,58.90,1.40
14298.00,1.00,14607.00,1.00,20.00,60.10,1.00
11498.00,1.00,24952.00,1.00,30.00,55.40,1.40
11998.00,1.00,49640.00,2.00,30.00,64.20,2.00
19998.00,1.00,21576.00,1.00,145.00,49.60,1.40
27995.00,3.00,20870.00,2.00,145.00,55.40,2.00
19995.00,3.00,30300.00,2.00,30.00,62.80,2.00
19995.00,1.00,22353.00,2.00,160.00,49.60,2.00
19995.00,3.00,23205.00,2.00,145.00,55.40,2.00
13995.00,1.00,15361.00,1.00,30.00,55.40,1.40
29995.00,3.00,8598.00,2.00,145.00,47.90,2.00
19990.00,3.00,6000.00,2.00,145.00,52.30,1.60
19990.00,3.00,5199.00,2.00,145.00,52.30,1.60
14995.00,1.00,15092.00,1.00,145.00,57.70,1.40
36990.00,3.00,3059.00,1.00,145.00,43.50,2.00
24995.00,3.00,28475.00,1.00,200.00,40.90,2.00
11490.00,1.00,35804.00,1.00,30.00,54.30,1.40
18495.00,1.00,24000.00,1.00,30.00,60.10,1.40
46990.00,3.00,3264.00,2.00,145.00,33.60,3.00
23995.00,3.00,2868.00,2.00,145.00,52.30,1.60
27990.00,3.00,6541.00,2.00,145.00,47.90,2.00
36990.00,3.00,4511.00,2.00,145.00,38.20,2.00
18995.00,3.00,27057.00,1.00,145.00,47.90,1.40
12990.00,1.00,42185.00,2.00,145.00,55.40,2.00
17995.00,3.00,59120.00,2.00,200.00,47.10,2.00
16498.00,3.00,41431.00,2.00,160.00,52.30,2.00
31998.00,3.00,30.00,1.00,145.00,33.20,2.00
36995.00,3.00,5065.00,2.00,145.00,38.20,2.00
36995.00,3.00,4638.00,2.00,145.00,38.20,2.00
57995.00,3.00,34926.00,1.00,325.00,29.40,4.00
22890.00,3.00,4642.00,2.00,145.00,46.30,1.60
16995.00,3.00,29558.00,2.00,20.00,67.30,2.00
33298.00,3.00,4899.00,2.00,145.00,47.90,2.00
15995.00,1.00,17000.00,1.00,20.00,60.10,1.40
20995.00,3.00,51204.00,2.00,145.00,56.50,2.00
14995.00,3.00,38776.00,1.00,30.00,56.50,1.40
19995.00,1.00,21972.00,1.00,145.00,49.60,1.40
39995.00,3.00,17648.00,1.00,145.00,34.50,2.50
22995.00,3.00,5674.00,1.00,145.00,52.30,1.40
24995.00,3.00,22086.00,2.00,145.00,62.80,2.00
39995.00,3.00,10090.00,1.00,145.00,37.70,3.00
19995.00,3.00,20825.00,1.00,145.00,47.90,1.40
12995.00,1.00,20042.00,1.00,30.00,57.60,1.40
22663.00,1.00,3657.00,2.00,145.00,49.60,1.60
